Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Protein stable ID	Protein stable ID version	Gene name	Source of gene name
ENSMUSG00000099894	ENSMUSG00000099894.3	ENSMUST00000187135	ENSMUST00000187135.2	ENSMUSP00000141161	ENSMUSP00000141161.2	Gm20911	MGI Symbol
ENSMUSG00000100125	ENSMUSG00000100125.2	ENSMUST00000185415	ENSMUST00000185415.2			Gm28739	MGI Symbol
ENSMUSG00000100915	ENSMUSG00000100915.7	ENSMUST00000186727	ENSMUST00000186727.7			Gm29321	MGI Symbol
ENSMUSG00000100915	ENSMUSG00000100915.7	ENSMUST00000188015	ENSMUST00000188015.7			Gm29321	MGI Symbol
ENSMUSG00000100915	ENSMUSG00000100915.7	ENSMUST00000188832	ENSMUST00000188832.2			Gm29321	MGI Symbol
ENSMUSG00000096769	ENSMUSG00000096769.9	ENSMUST00000185327	ENSMUST00000185327.7	ENSMUSP00000139807	ENSMUSP00000139807.2	Gm21117	MGI Symbol
ENSMUSG00000094616	ENSMUSG00000094616.9	ENSMUST00000186890	ENSMUST00000186890.7	ENSMUSP00000140067	ENSMUSP00000140067.2	Gm20888	MGI Symbol
ENSMUSG00000100653	ENSMUSG00000100653.2	ENSMUST00000188102	ENSMUST00000188102.2			Gm28238	MGI Symbol
ENSMUSG00000094647	ENSMUSG00000094647.8	ENSMUST00000179073	ENSMUST00000179073.3	ENSMUSP00000137112	ENSMUSP00000137112.2	Gm21650	MGI Symbol
ENSMUSG00000094647	ENSMUSG00000094647.8	ENSMUST00000190551	ENSMUST00000190551.7	ENSMUSP00000141092	ENSMUSP00000141092.2	Gm21650	MGI Symbol
ENSMUSG00000099646	ENSMUSG00000099646.2	ENSMUST00000185206	ENSMUST00000185206.2			Gm28541	MGI Symbol
ENSMUSG00000099535	ENSMUSG00000099535.2	ENSMUST00000185545	ENSMUST00000185545.2			Gm28542	MGI Symbol
ENSMUSG00000101285	ENSMUSG00000101285.7	ENSMUST00000189502	ENSMUST00000189502.7			Gm28600	MGI Symbol
ENSMUSG00000101285	ENSMUSG00000101285.7	ENSMUST00000187374	ENSMUST00000187374.2			Gm28600	MGI Symbol
ENSMUSG00000094821	ENSMUSG00000094821.8	ENSMUST00000186938	ENSMUST00000186938.7	ENSMUSP00000140794	ENSMUSP00000140794.2	Gm21518	MGI Symbol
ENSMUSG00000094821	ENSMUSG00000094821.8	ENSMUST00000178115	ENSMUST00000178115.3	ENSMUSP00000136187	ENSMUSP00000136187.2	Gm21518	MGI Symbol
ENSMUSG00000095979	ENSMUSG00000095979.8	ENSMUST00000189354	ENSMUST00000189354.7	ENSMUSP00000139400	ENSMUSP00000139400.2	Gm21209	MGI Symbol
ENSMUSG00000095979	ENSMUSG00000095979.8	ENSMUST00000178556	ENSMUST00000178556.3	ENSMUSP00000136754	ENSMUSP00000136754.2	Gm21209	MGI Symbol
ENSMUSG00000101339	ENSMUSG00000101339.2	ENSMUST00000190003	ENSMUST00000190003.2			Gm29180	MGI Symbol
ENSMUSG00000099731	ENSMUSG00000099731.2	ENSMUST00000191288	ENSMUST00000191288.2			Gm29181	MGI Symbol
ENSMUSG00000096902	ENSMUSG00000096902.8	ENSMUST00000191305	ENSMUST00000191305.7	ENSMUSP00000140105	ENSMUSP00000140105.2	Gm20843	MGI Symbol
ENSMUSG00000096902	ENSMUSG00000096902.8	ENSMUST00000178505	ENSMUST00000178505.3	ENSMUSP00000136575	ENSMUSP00000136575.2	Gm20843	MGI Symbol
ENSMUSG00000101533	ENSMUSG00000101533.2	ENSMUST00000187002	ENSMUST00000187002.2			Gm29393	MGI Symbol
ENSMUSG00000101533	ENSMUSG00000101533.2	ENSMUST00000190267	ENSMUST00000190267.2			Gm29393	MGI Symbol
ENSMUSG00000102045	ENSMUSG00000102045.2	ENSMUST00000186443	ENSMUST00000186443.2	ENSMUSP00000140933	ENSMUSP00000140933.2	Gm21294	MGI Symbol
ENSMUSG00000100407	ENSMUSG00000100407.2	ENSMUST00000190133	ENSMUST00000190133.2			Gm28472	MGI Symbol
ENSMUSG00000100407	ENSMUSG00000100407.2	ENSMUST00000189995	ENSMUST00000189995.2			Gm28472	MGI Symbol
ENSMUSG00000095153	ENSMUSG00000095153.8	ENSMUST00000185776	ENSMUST00000185776.7	ENSMUSP00000140431	ENSMUSP00000140431.2	Gm21095	MGI Symbol
